57404312213102573130535121623701575324660752536153337662374157531437046612335353163756240153524131576357403153520146143661013724660733535321375624015352414060075253527613574301533301615357376157466121,{b'a': [(5, 7)], b'b': [(2, 2), (4, 5), (5, 4), (6, 5)], b'c': [(4, 4), (7, 5)], b'd': [(3, 1), (4, 3)], b'e': [(0, 1), (1, 4), (3, 0), (4, 1), (7, 6)], b'f': [(1, 0), (3, 4), (7, 0)], b'g': [(0, 7), (1, 2), (6, 2)], b'h': [(3, 3), (5, 2)], b'i': [(1, 1), (6, 0), (6, 6)], b'j': [(4, 7), (7, 3)], b'k': [(0, 0), (0, 6), (3, 5), (5, 5)], b'l': [(0, 4), (2, 4), (4, 6), (7, 7)], b'm': [(0, 2), (1, 3), (2, 7), (7, 1)], b'n': [(4, 0)], b'o': [(1, 6), (2, 1)], b'p': [(2, 6)], b'q': [(3, 2), (4, 2), (7, 4)], b'r': [(3, 7)], b's': [(3, 6), (6, 1)], b't': [(5, 3)], b'u': [(0, 5), (5, 6)], b'v': [(6, 4), (6, 7)], b'w': [(5, 0), (5, 1)], b'x': [(0, 3), (1, 5), (2, 3), (2, 5), (7, 2)], b'y': [(1, 7), (6, 3)], b'z': [(2, 0)]}
42656127446345636314566103203044301745624506620045714542412006302306417657613763335727453044434136124540060314653130177530173763714575412742115545554571064145223603413575254563301715307345635665650630,{b'a': [(1, 4), (1, 5), (4, 2), (7, 5)], b'b': [(0, 1), (5, 5), (7, 2)], b'c': [(2, 4), (2, 5), (3, 3), (4, 7), (6, 4)], b'd': [(3, 1), (5, 0), (6, 1)], b'e': [(4, 5)], b'f': [(2, 3), (3, 5), (7, 1)], b'g': [(7, 6)], b'h': [(1, 7)], b'i': [(3, 7), (5, 6)], b'j': [(5, 4), (7, 0)], b'k': [(1, 0), (3, 2)], b'l': [(0, 0), (1, 3)], b'm': [(2, 7)], b'n': [(2, 0), (3, 4), (6, 5)], b'o': [(0, 6), (3, 6), (4, 4), (5, 7)], b'p': [(4, 3), (6, 2)], b'q': [(1, 6), (5, 2)], b'r': [(4, 1)], b's': [(6, 3)], b't': [(3, 0), (6, 7)], b'u': [(0, 3), (0, 7), (2, 6), (7, 4)], b'v': [(0, 4), (1, 2), (2, 1)], b'w': [(4, 6), (6, 6)], b'x': [(0, 2), (0, 5), (5, 1), (5, 3)], b'y': [(1, 1), (2, 2), (4, 0), (7, 3)], b'z': [(6, 0), (7, 7)]}
30503627404645302242544000650251166450745035442564506455350740764107302242276440753575505111024034453524303555413565765065145440754135345550350040145540022351404117302242157546356035352635456423261346,{b'a': [(3, 0), (7, 5)], b'b': [(5, 4)], b'c': [(1, 5)], b'd': [(0, 6), (2, 3), (3, 6)], b'e': [(4, 0), (6, 4)], b'f': [(0, 3), (1, 1), (1, 4)], b'g': [(1, 3), (2, 1), (3, 3), (5, 2), (5, 3), (6, 7)], b'h': [(0, 0), (0, 7), (1, 7), (2, 4), (4, 5)], b'i': [(5, 5), (6, 0)], b'j': [(2, 0), (3, 2), (7, 0)], b'k': [(4, 7)], b'l': [(0, 2), (2, 2), (4, 2)], b'm': [(0, 4), (1, 6), (2, 5)], b'n': [(5, 0)], b'o': [(2, 6), (4, 4), (6, 5)], b'p': [(7, 2)], b'q': [(0, 1), (3, 1), (5, 7), (6, 2)], b'r': [(1, 2), (7, 3), (7, 6)], b's': [(3, 4), (4, 1), (4, 6), (6, 1)], b't': [(3, 5)], b'u': [(0, 5), (7, 4)], b'v': [(1, 0), (7, 7)], b'w': [(5, 6), (6, 3), (6, 6)], b'x': [(7, 1)], b'y': [(2, 7), (5, 1)], b'z': [(3, 7), (4, 3)]}
41424633237210031777722540461026233210261752370772103766102625512556107047632545034143717717036442204742445637673347671050625377051056102625057222474371417245101742404246102625057245236260251045102542,{b'a': [(2, 1), (4, 0), (4, 1), (6, 4)], b'b': [(7, 7)], b'c': [(5, 2), (6, 2)], b'd': [(4, 6), (6, 3)], b'e': [(1, 7), (2, 5)], b'f': [(3, 2), (3, 3), (6, 7)], b'g': [(2, 0), (4, 4)], b'h': [(0, 3), (2, 6)], b'i': [(0, 5), (4, 7)], b'j': [(3, 6)], b'k': [(5, 5), (6, 0), (7, 5)], b'l': [(0, 2), (4, 3), (7, 1)], b'm': [(0, 4), (1, 5)], b'n': [(4, 2), (6, 6)], b'o': [(2, 3), (3, 7)], b'p': [(2, 2), (3, 5)], b'q': [(2, 7), (5, 4), (7, 4), (7, 6)], b'r': [(7, 2)], b's': [(4, 5), (5, 6), (6, 5), (7, 0)], b't': [(0, 1), (1, 0)], b'u': [(0, 7), (5, 3), (6, 1)], b'v': [(1, 2), (1, 4), (5, 7)], b'w': [(5, 1)], b'x': [(1, 1), (3, 1), (7, 3)], b'y': [(0, 6), (1, 3), (1, 6), (5, 0)], b'z': [(0, 0), (2, 4), (3, 0), (3, 4)]}
35325335357236130773605105416236134716123654475123031634671532565273163616127653363672362616122450200204721307700024362650122461367356670417201605361307735341120711164535475150123340450550514535162467,{b'a': [(0, 7), (2, 0), (2, 3), (3, 5)], b'b': [(0, 2), (3, 4)], b'c': [(6, 1), (7, 0)], b'd': [(4, 6), (5, 3), (6, 0)], b'e': [(0, 4), (2, 4), (3, 3), (7, 6)], b'f': [(1, 0), (2, 6)], b'g': [(1, 7), (4, 3), (5, 6)], b'h': [(1, 2), (5, 1)], b'i': [(0, 5), (1, 5)], b'j': [(0, 6), (3, 0), (7, 5)], b'k': [(2, 2), (7, 7)], b'l': [(0, 0), (0, 3), (1, 1)], b'm': [(4, 0), (7, 4)], b'n': [(1, 3), (3, 2), (7, 3)], b'o': [(3, 6)], b'p': [(6, 5), (6, 6)], b'q': [(0, 1), (2, 5), (4, 4), (6, 3)], b'r': [(6, 7), (7, 2)], b's': [(4, 1), (4, 7), (6, 2)], b't': [(1, 6), (5, 0)], b'u': [(2, 7), (5, 2), (5, 4)], b'v': [(4, 2), (5, 5)], b'w': [(4, 5)], b'x': [(1, 4), (2, 1)], b'y': [(3, 1), (3, 7), (5, 7), (7, 1)], b'z': [(6, 4)]}
32742131555166242434161732202176730324261775252024311624737424156724345554612014501644322426612015477350320232137403242434162432647216617424405545252116613624601624326455502032542255451500243401325021,{b'a': [(3, 2)], b'b': [(6, 4)], b'c': [(1, 7), (5, 4)], b'd': [(2, 1)], b'e': [(1, 6), (5, 5), (7, 3)], b'f': [(3, 6), (4, 2), (6, 7)], b'g': [(0, 2), (0, 7), (1, 4), (4, 4)], b'h': [(3, 1), (3, 4), (4, 0), (6, 0)], b'i': [(1, 3), (2, 5), (2, 6)], b'j': [(6, 5)], b'k': [(4, 1), (6, 2), (7, 5)], b'l': [(2, 2), (5, 3), (7, 2), (7, 6)], b'm': [(7, 0), (7, 1)], b'n': [(2, 0), (7, 4)], b'o': [(1, 5), (6, 1)], b'p': [(5, 1)], b'q': [(3, 7), (4, 3), (5, 2)], b'r': [(1, 2), (5, 0)], b's': [(0, 3), (4, 5)], b't': [(2, 4)], b'u': [(0, 0), (2, 3), (3, 5), (6, 6)], b'v': [(0, 6), (4, 7), (7, 7)], b'w': [(0, 1), (1, 0), (2, 7), (5, 6), (5, 7)], b'x': [(0, 5), (3, 3), (6, 3)], b'y': [(0, 4), (3, 0)], b'z': [(1, 1), (4, 6)]}
17564511132242136537161376204347375166261302004736175667333302525622225147221402132213563713675056375211001237162576425251677316005411161322750200475524256743525047676476515037507551473711250363371702,{b'a': [(0, 3), (1, 7), (3, 3), (5, 7), (6, 4)], b'b': [(6, 0), (7, 6)], b'c': [(3, 2), (5, 4), (7, 0)], b'd': [(0, 5), (4, 5), (6, 7)], b'e': [(1, 3), (2, 5)], b'f': [(0, 1), (2, 1), (2, 6), (2, 7), (3, 5), (6, 6)], b'g': [(3, 4), (3, 6), (7, 1), (7, 7)], b'h': [(1, 1), (1, 6)], b'i': [(0, 0), (1, 5), (4, 1)], b'j': [(7, 4)], b'k': [(5, 5)], b'l': [(2, 4), (4, 2), (6, 3)], b'm': [(1, 2)], b'n': [(4, 7), (5, 6)], b'o': [(5, 1), (5, 2)], b'p': [(1, 4), (4, 6), (7, 5)], b'q': [(4, 0)], b'r': [(0, 2), (4, 3)], b's': [(2, 2)], b't': [(3, 7)], b'u': [(2, 0), (5, 0)], b'v': [(0, 7), (2, 3), (5, 3), (6, 2), (7, 2)], b'w': [(0, 6), (3, 1), (6, 5), (7, 3)], b'x': [(0, 4), (6, 1)], b'y': [(3, 0)], b'z': [(1, 0), (4, 4)]}
76110061113567653722371275206576462374760463204354761256103567433005456135776765054356371274761222354476535322656316262177562056143575546111664654762343126743056556304076417774653356460253562605315602,{b'a': [(7, 6)], b'b': [(5, 2)], b'c': [(0, 6), (2, 4), (6, 6)], b'd': [(0, 0), (0, 2), (1, 6)], b'e': [(4, 3), (5, 4), (6, 5)], b'f': [(1, 0), (3, 0), (3, 7)], b'g': [(3, 1), (4, 2)], b'h': [(6, 7), (7, 4), (7, 5)], b'i': [(2, 2), (4, 0), (4, 7), (5, 1), (6, 1)], b'j': [(7, 1)], b'k': [(1, 3), (1, 5), (6, 0), (6, 4)], b'l': [(0, 4), (3, 3), (6, 3)], b'm': [(4, 1), (4, 4)], b'n': [(1, 1), (2, 1)], b'o': [(5, 6)], b'p': [(7, 2)], b'q': [(0, 7), (3, 4)], b'r': [(0, 5), (4, 6)], b's': [(2, 3)], b't': [(0, 3), (1, 2), (3, 5), (7, 7)], b'u': [(0, 1), (1, 4), (1, 7), (2, 6), (4, 5)], b'v': [(5, 5), (7, 3)], b'w': [(2, 7), (5, 7), (6, 2), (7, 0)], b'x': [(2, 5), (3, 2)], b'y': [(2, 0), (5, 3)], b'z': [(3, 6), (5, 0)]}
42036555643745347523420040551630021630677455504741344203422575503742766530235031422701424573324130025060027400657116764741264276422575163725234200405550624272420074500001021625470347412716654237107067,{b'a': [(4, 2)], b'b': [(5, 5)], b'c': [(3, 1), (5, 1), (6, 0)], b'd': [(6, 5)], b'e': [(1, 6), (5, 0)], b'f': [(4, 1)], b'g': [(1, 5), (5, 4), (6, 2), (6, 6)], b'h': [(0, 2), (2, 3), (3, 7)], b'i': [(4, 5), (7, 4)], b'j': [(3, 6)], b'k': [(0, 7), (2, 2), (6, 3)], b'l': [(0, 0), (4, 0)], b'm': [(2, 6), (3, 4), (7, 2)], b'n': [(0, 3), (7, 3), (7, 6)], b'o': [(3, 2), (4, 7)], b'p': [(2, 1), (2, 7), (5, 6)], b'q': [(0, 6), (1, 1), (1, 3)], b'r': [(6, 7), (7, 1)], b's': [(2, 5), (7, 5)], b't': [(0, 1), (3, 0)], b'u': [(4, 6), (7, 0)], b'v': [(1, 2), (2, 0), (4, 3)], b'w': [(0, 4), (0, 5), (1, 4), (3, 3), (5, 7)], b'x': [(1, 7), (4, 4), (5, 2), (6, 1), (7, 7)], b'y': [(2, 4), (3, 5), (6, 4)], b'z': [(1, 0), (5, 3)]}
00706774354414746427744120444201157461447562272457441732724434705572744432007435705543270036051541654453441564550041043241633265014132746444037461057436204436276370557474354445057474327270606670722764,{b'a': [(0, 5), (2, 7)], b'b': [(2, 3), (5, 0), (6, 3)], b'c': [(1, 1), (3, 7)], b'd': [(3, 6), (4, 1), (4, 2)], b'e': [(3, 2), (4, 4)], b'f': [(2, 1), (3, 4), (5, 2), (6, 0)], b'g': [(2, 4), (2, 5), (5, 6)], b'h': [(3, 5), (6, 1), (6, 4)], b'i': [(0, 1), (2, 0)], b'j': [(0, 2), (1, 0), (1, 3), (3, 0)], b'k': [(6, 6)], b'l': [(2, 6), (4, 6), (4, 7), (6, 2)], b'm': [(0, 3), (4, 5)], b'n': [(0, 0), (1, 5)], b'o': [(7, 0)], b'p': [(0, 6), (7, 5), (7, 7)], b'q': [(1, 6), (7, 3)], b'r': [(0, 4), (7, 2)], b's': [(4, 3), (5, 1), (6, 5)], b't': [(7, 4)], b'u': [(5, 5), (5, 7)], b'v': [(2, 2), (5, 3)], b'w': [(1, 7), (6, 7), (7, 6)], b'x': [(1, 2), (3, 1), (5, 4), (7, 1)], b'y': [(1, 4)], b'z': [(0, 7), (3, 3), (4, 0)]}
20400416666230576243645162543511642774166636433240541646114074043271361240464016647503662066175744606601661731667615556235645737552036536737616644402040221666744175126002666213557435645737271750544453,{b'a': [(2, 0), (3, 2), (3, 6)], b'b': [(5, 5), (6, 3)], b'c': [(0, 2), (3, 1)], b'd': [(0, 4), (1, 3), (2, 2), (5, 4)], b'e': [(3, 7), (6, 2), (7, 4)], b'f': [(3, 5)], b'g': [(1, 4), (4, 7), (5, 0), (7, 1)], b'h': [(6, 6)], b'i': [(0, 3), (1, 2), (1, 7), (7, 6)], b'j': [(4, 5), (5, 2)], b'k': [(3, 4), (4, 2)], b'l': [(5, 3)], b'm': [(0, 0), (0, 5), (0, 6), (2, 7), (4, 3), (6, 5)], b'n': [(4, 0)], b'o': [(4, 4), (6, 4)], b'p': [(6, 1), (7, 5)], b'q': [(2, 3), (2, 4)], b'r': [(1, 1), (5, 7)], b's': [(0, 7), (1, 5), (5, 6), (7, 2)], b't': [(1, 6), (6, 0)], b'u': [(2, 6), (4, 6)], b'v': [(2, 5), (5, 1), (7, 0)], b'w': [(0, 1), (3, 3)], b'x': [(2, 1)], b'y': [(1, 0), (3, 0), (4, 1)], b'z': [(6, 7), (7, 3), (7, 7)]}
