gdwgihgeihltadsetohneasaonaeetshtrtreahllguegtehsloogrgenstemtadateodeilhtadmtrltealtuhyterhrtihders,[array([2, 0, 4, 1, 3]), 4]
yliatihfhgtpbhlbrbnsdhanciomesealhfernmhteomeacpfhdensalaisnazdiaeteasnetoelnashbmeeoduashfhatralloh,[array([0, 1, 3, 2, 4]), 4]
hiprenedhitrotaitgeorhunsudsdtaaomtkrwytdhawfttsaehreemtduetfanhnuuodnihbaotedeeleeenadvnebtedetheoh,[array([0, 4, 2, 1, 3]), 12]
aeonaooiboybgdyofemteaniihcbrapahiefmohehrnahfzdcrtevdtauniuhhwieolentthoelnrmrmaddgtprthseahnepdeid,[array([0, 4, 1, 3, 2]), 8]
akerirwoihhitstttafltovfhrltdgtsteimvhlaemooddnotdihlultathenhunthntehganeolohmlstksaanooehyilnieani,[array([0, 2, 1, 3, 4]), 2]
adehltbbdilrhmetoiheehhsniohedarletietbcatstnlipfilnreewdiphrtiofssiseeshhneecbebeadmiotaahsclalrndo,[array([4, 3, 1, 0, 2]), 3]
eejtdftaihrrdhlcotdntnotsmneeiaiatrfhapomufonhhaeinhcmglteodeiteuaeftddlsoonepaporoetyhroanpngnebejc,[array([0, 2, 4, 1, 3]), 9]
tluuencsheeoateodnhahekidiieternalcntesjkasuaiieiatmtdaooaehreacmgihlfshstmhihritsmtspvnrcancdortede,[array([2, 3, 4, 1, 0]), 7]
uteblmseanicedorwhirnsanhurvayaoishedmbohefoenthrehgdaleriahstttosoetoeiteotntieigvnitnlrfsatnecaiue,[array([1, 4, 0, 2, 3]), 5]
hsirnftehiedcdteaihceteigtteiateotlraaigifetiihhlasheicootiswrshthfdnnrsttliinecorbehnfcrohmleesiive,[array([3, 1, 0, 4, 2]), 1]
hceoedlngtlrhllvhmhhmdvnnlseetndetdnathrfaiitioedtoeetitafieysenlihoeieeieadidirdvhsfhadrdrdnonoaser,[array([3, 0, 2, 4, 1]), 3]
nhtembeeeoyoshlvyhetiedoyuaetnoeohsmolaedyerrvhnmtaedefavhliltysiwrehetsfhrlrtidaeawusadhynsmtiedvno,[array([4, 0, 2, 3, 1]), 14]
adrcdtdasttmullhulrdfrrarteedehsmsseyhhlmaoaldtesaaunanwpahstetoanonlaoremseemaesktenahndscaieteeove,[array([1, 2, 3, 0, 4]), 11]
dhcutdesykwhhhceutoioauhanaltnabefigysaenohllnroadeyaauilondhnysrohtcuorhcalhsadrwteityaliyonevyelyt,[array([4, 1, 0, 3, 2]), 0]
ehienoaihtoeeivsehiedahsahitsuddattcsmtaahitcevygdiivootsdirddntlsadaidghutohtntlsusibospntmamwepndi,[array([2, 3, 1, 0, 4]), 14]
dldiootuunnddwdtotenshthtsuthsstoyuadasimnfrastheeaawahmvreyjbmaoehonnaovelnsimhnrtogaaieehshsteeeei,[array([3, 1, 0, 4, 2]), 4]
dltjlosiltvvowwidiodossecahnimdhtadhnsuteifadsiieteihdviefiecencsaerewleaetaltndvotpetiaavhidnlaaurw,[array([4, 3, 0, 2, 1]), 8]
evheidtdndyiutsddlmfleeayitafltoahieeehnaitekilvnmnonoadrsewlvepadwleoadremnhhsuhlitldrhiinhmeeaedlt,[array([0, 2, 1, 3, 4]), 6]
nwokwttsteegttioieaeasiiaeoaayneosseedolielhusrknhtndsalbbinhnndlouiagrlltdabhnwhthllbadhkmflhethdnh,[array([3, 2, 0, 4, 1]), 5]
otdhdetuooasrqotnncuaehswsnryleudavinhrensdttuioluyhieeshdttgadeowisnhnadwlieiksbeeoehnnlkaunitssyni,[array([4, 3, 2, 0, 1]), 7]
ntgetahshlrihkfteweebnepuedwhiohetnrieskfaufngwcnteahnnrnlhedemtieemhwcuektoeitodlosatadnlnoihocsohh,[array([2, 4, 3, 0, 1]), 10]
ndmtozkmwaehndsttoavemieshhedndknadnfiteaihsaoeonbeiightrhegohmesiaznfltrnatgihwhltadisnaaoeurtoehhe,[array([4, 3, 0, 2, 1]), 3]
nmnwtahdaeiiyihhrhbsondseaoitwdtdeosetoeisuhdfdmehdosthfensincovitaeoingisasllphsrabrtefasanrahrinid,[array([1, 0, 3, 4, 2]), 0]
eofhdahlvtshlvilaenhenoeahtoelitoihaylewnetaesdldmtseetilvdawdehadnohteroenthrcidsrladsutiolheaoflhr,[array([2, 0, 1, 4, 3]), 2]
rtsdhyerhoneaekwesfsmstehuflwewnegstrddohtehhemaovnheohuteiewreotehroehnfroebanheoootabtsoodtewvighg,[array([2, 3, 1, 4, 0]), 14]
nchseraceoahenrosnhseabbdnlbnfneidausiojheaejsdhnaeoblzwfhresdaatohoghrfbifdetrstehnoardeztnhaioerao,[array([2, 1, 3, 0, 4]), 10]
dsocasahholrlndhsajmhandaannremmpnaaabnosoiisilnaaadeadzrihmaaitefehsltiscisaaahneaohdehhjaashoiecsn,[array([4, 3, 0, 2, 1]), 4]
ahetowsoiaasnceseieswewhodeieeehheantsnnfcdnlahiisehitienenboaalnmabetvlihnwwnhshcvdradedibrcuetihue,[array([2, 3, 0, 4, 1]), 2]
eesufhrowabtozinhoeennuonrhtootsmajemnfeaicwrtarhdoisfthebirwfstcrtsaolseytvfrreeinhsohsaddnustedoua,[array([3, 1, 0, 4, 2]), 12]
eipatemnianfhhiehseenyutnttcnoithahsketkniorewnfossthorottiwtrdhxairshtstoiseoancsreaohahfxwekedutdu,[array([4, 1, 3, 0, 2]), 9]
lhcseieateiefiistdevootealenahgmnlslwonvuttsetlnkdrdtansdmeumntemnhkkdelshnapinthydlosiegabihmsnooig,[array([2, 4, 1, 0, 3]), 14]
bodhobewrnuattomsnueoeuhtserfjhtmhtbneubaeasmcmtehmyeoeadbswsdheamtbntbdeehjrcuabntaoidoheeuahamneim,[array([0, 2, 1, 4, 3]), 8]
adlfctjdteardewrsyeaeogvrshiedinarlhenhoioebuhrdemteuneeihoadsaannhasstdanibcsfntdtrehhntiuhdhaeclie,[array([4, 0, 1, 2, 3]), 15]
rhahsabtgkkoadeaiuaaenhdmnettoidteeohnoeeonteirettwfeejhcmrnjdmdsnhketgeeueothafoaepcfadeictihhnannh,[array([1, 3, 4, 2, 0]), 5]
nihndeescsehufrsreaeriibnhsmraahhhrwulakanwneltulbteutgaceermdeotewetesedpyodreiedadhaitsoolehsreana,[array([1, 3, 0, 4, 2]), 15]
sogeetotibervelhrvhoevoestooeeoftojsmhstntcoyetroltelaaaetrhiehuhgsdrhoedfaeessteiefsrfhefdhlvuehgeu,[array([0, 4, 1, 3, 2]), 3]
vralsnrsaaihlhdinernhjbnritfajdhiaaaaeeoohacmdaieoefsfhoprmdenmaamnezmlhnihmooroesahinzaainaaladcada,[array([2, 0, 4, 3, 1]), 10]
tnasienaoofhhcadotjrmnbolnheahnpieiatweoirphnteoeaorehyfeslohdaulrintenreurxtmoadahsfoetastfidueteal,[array([3, 0, 4, 2, 1]), 4]
jpaaeepsensntiiitstemhcedosnstheiribrhnnhwshracocadaeildyhhiaadgtciadiaidienkdawwnhhislvbdtreoewaenn,[array([4, 1, 0, 2, 3]), 3]
ntduhciyweaeifsllrjbamhhoeahrrtavobnrdhrdsedeteusafeondpifohpfrinohgvwccadeletjeoetaihbdtethysaooser,[array([3, 2, 1, 0, 4]), 2]
tdhcethrttenolwcsoikeobtlsuteiugehatenhisctuisrstrithentedonnsateothedrhhadeekefwemadebhjfhgooitesrs,[array([2, 1, 4, 3, 0]), 7]
atigtotreeruosopaohodlnetoyilcsasrrmltatsmtigovrearnhpmoumbsechhaheoelswselumdpeulevftbhhcaeutnfiash,[array([2, 0, 4, 1, 3]), 11]
dhsaphdlhmldrhmheaehastuiohaesifisbhithteelttdturmalrlemnvrehlvmrwcdametetnnedlledithaeeeoeknveceysh,[array([1, 3, 4, 0, 2]), 1]
siledystnwmnilpowadhtideeiwlhewyiiihgekeuhbiiecefrieastuetrlkoiaohotiyteeseadtktmtantyowlmmihlwhwibm,[array([3, 4, 0, 1, 2]), 5]
iohhryytihoyrwspteteeyhtmgohlsttptlosaliiaetuwghuoilreehptetrooteliihrhonielaaswtslvnuhdneinweaohefl,[array([2, 4, 3, 1, 0]), 12]
esyohuwrhgtooinhutueeomiehcfetcrtoyrevreohtdvtetdeiogteeafhfrdlotlfrlututotkdtooginpovretotnlfennooe,[array([4, 3, 1, 2, 0]), 14]
iahefahhesslacoaestncusnrgrsroetaltoiekhtwtetebmeoepsudpltleehhodltjktdbhifveehirotaeehfouhlewehrsit,[array([2, 4, 0, 1, 3]), 5]
ytemshsntraecoshwotueitehlteohmehwwohhdhroakotgoideacieklchhwhwahbsiartasmteuiatwephnfwohfbehtsilnsn,[array([2, 0, 3, 1, 4]), 2]
ticirhlrvkwhaoeaohrefotsolrprhtcntmecdnhofrotkoewshwlethcentyooueeeaeeotihnedlftwhceemyrdtrrsnhrfnnd,[array([0, 3, 4, 2, 1]), 8]
htemtoaothnbnionhtbnlinuesrbtteaoueontanrbtogiaeaotuoyegorhrbeknrothrcmigsrtoxasnluaeeringgtteopnire,[array([2, 0, 4, 3, 1]), 14]
hetglhlihhhhoodresrsevtahsnwuaoikunsdlpetearrehfesdotwfwetepentershhneeiterewdtetedetudwrvthetabycri,[array([4, 1, 2, 3, 0]), 11]
rntaudnilotpobhthoselpgiteehttrtgsgersteaeeoshoodyhtesirehttslaiwndsoracnlhpcanheanaaapsuthtvusarnss,[array([3, 0, 4, 1, 2]), 11]
avnaeuhreriyglrrnoseeitlopemnhvcthhenihrhtnnahrmrutesutethsoutlcweeioeettrnlieiteysafltefocteshteraa,[array([0, 4, 1, 3, 2]), 8]
hbmdsanmthsrwiheaeayikhtanranehiimethhildwitewhhntctendeatntimeeyontmtiihetahansarniontsihhcditagtah,[array([0, 1, 3, 4, 2]), 3]
omfioynnvhcghvadacdnvalegtfrneterjnyesiemesteealadiysmarnmtoihncmdyiishscmmoeieeetaieihannoelhoghems,[array([4, 1, 2, 3, 0]), 14]
rcsenohrsohwgrueidhihoteioriruutdratlnefgatentfnrlhoabfhhtawrbtegndbeoomeotenomnoleeoemfyotebiolhgue,[array([4, 1, 0, 3, 2]), 8]
tlaoisaplehtityheelaeohmfhoenartreeflradltenttdndtlnytilhbteohnsrtletfdadoohaahbarhrtioedgapatorrted,[array([3, 1, 4, 2, 0]), 7]
yncftaodtivroedorceeooeenmtigeoylawhvdfroshfsaeaeyuohhahrmohhiertofteorhildorsntnfotihhahlhsgdaldcut,[array([1, 4, 3, 2, 0]), 10]
eheiieytgefrysetehsctvdhynaahoehwotephvasrafhodhtrmderdhrtreooeenobcoeyattaangetttashwoaletfaeyeeell,[array([0, 1, 3, 2, 4]), 1]
rnnhueeenoaneaeuootilregeuoioothrarssmtllguhwunhehiedrtanwhebtysmwlsbidhgiibiotrhmdumorftwtsnttdgott,[array([4, 1, 0, 3, 2]), 8]
odcooseaottorryoortoitefloersneatdebteeennavaseirulbautwvifheuimrrgsanohmtbriuwrhamuinoeguheehvillto,[array([4, 1, 2, 0, 3]), 1]
ehtothogihhllgryteirlbrryaooianolttoiooodgfaieredolttyodeadloafrlnuwsebffrrwbfunooewyuwrsghrgelehsle,[array([2, 3, 1, 0, 4]), 15]
ihahenwtannfaeeevntwvreytswnedhdieqyslhgatehyoatillkpaeseandoeondhhtohiioulwseeoryeuvroiaalrlimhutal,[array([0, 3, 1, 4, 2]), 10]
nsahathteloalstratehhtdrhdylggsetyltvanhomhetedeeehfibhraeiaoiahtthnitihtottelianeusapegiefwtsilrlve,[array([3, 0, 1, 4, 2]), 0]
fmefratyoiaehahvngieostfieonisieteihvnhlbdflnhnrnvrenuhlmhtieeereemutedeesiaskeoaeieaegvdalvyoohohme,[array([0, 2, 3, 4, 1]), 11]
ssthinmafoihrbehtoemrsflditoertdtfnuatyotreeahondhitoetoyssmatoesosrtettnsohhlprfhuemshlcuuagtadeieo,[array([2, 4, 3, 0, 1]), 0]
atoddenhseaaehhsdhatttteirbttntiwrehhsteushmtrhndalsrasheafooduhretimemeprrtshlcetaautmnkfhanoedrhml,[array([3, 2, 4, 0, 1]), 14]
iiieityaeototovnhhtewoatdtllrehaihrdultiitafmfmuaibdhthahetdnhruleteadttdnsabgnonoeotofawvnslhneehhr,[array([4, 0, 1, 3, 2]), 12]
ntehoahsfkopneiiohotwliedheninmhtapafawnmagdteaimzdwthntpeeenhtejrutlaooataalwmmeehtetlneiehhidhglrt,[array([4, 2, 0, 3, 1]), 3]
tspmawhuenhdasesntesnsdttulsbtpspnbannogonoyesatishsheauyeetnhirefrhsadtenirehrdehradfrhomtiheruorge,[array([2, 4, 1, 3, 0]), 13]
hihoaoerttslctaaogsrhsesoeoeelgaefrhlhirymateaewrotctfhlkpnhymrhnncanwtahowvrlsoawmehxedesieeaadiisf,[array([4, 2, 0, 1, 3]), 9]
aiuehnshldpihnsyopnicuoiescseuntlonpsondtdtibnraensdphaaatonoeaaobnuhrednwmwrotleihranhbtfaadepsnhre,[array([2, 4, 3, 0, 1]), 5]
eaenrsaeehhtsrnomhltchtweovedoomlwstaputrinnanatiamehutnflytalsnoeetirarinerosimsaaodihekhevieedehhr,[array([1, 3, 2, 4, 0]), 9]
stotyshigyhhhhiernesenenaiesumsteinnuetrteiaduoeakwadnohtlwtistepnetmemmfdptmadeohstieonidnptentufhe,[array([4, 2, 1, 3, 0]), 13]
deusaeiueaitesutstetoouneantatetmnshstihmhosiomnheanosegrbtonhnntnnrtdlaitehaeoahehsfttygahhsreoanae,[array([0, 2, 4, 1, 3]), 9]
aheetssedtdhnhutdfeodicuttigrhewrheiiyaedomihunlerihaooaheoalncdnehfohntytwtsiteltsalhtwelyfntnfnste,[array([0, 4, 2, 1, 3]), 10]
itigueswteirteocadtawrhrshvcttiurgfayrrhriwtyecustieirahtneooebieeaketetebmhleaddlvbnhhisnrahshfnhee,[array([4, 0, 1, 2, 3]), 3]
itrbfuridhlbtehgfhfsaoeatdheiipinneeeemtloeorwvhbhnehmltegawesdadoygdaletoedutwtshetismecshshinroerv,[array([3, 0, 1, 2, 4]), 2]
liyuadoemjsseamhiiueiloeswaeyohetnaoaltrenleadeonrokteallfabnngimmrwttsdeuhdroedlqtwbmaylfrryyptwilr,[array([4, 0, 3, 1, 2]), 11]
haseehldliiiflheietsntsottootdfnanearlipabgaestwleekohetanadnuueectrwrdialrlsepttddaaawofodtfflyteie,[array([3, 0, 2, 1, 4]), 1]
ltnsiteeaeansueotuichrtfvliitrishwlehhphrwstdlnyayaceounieilgetlweutaiedhtthasrtthahjdenaetocenhotii,[array([0, 2, 3, 4, 1]), 4]
awmratecldansunaooaeloamlilabalaeteiecicfcssawhteniaehsfrsnmoaoglrlnylntaodlbbmhthekhthdkaoamcpfdkir,[array([3, 1, 0, 2, 4]), 2]
laehssdhbrroottktagplaeohteularnvhtbyehynwmneplbnstesatrdeateneooolihhenlaalhtheteehateatoteoaeshumr,[array([0, 4, 1, 2, 3]), 15]
asyulycessilotnnicianfuoiaorndlcialioiloefaonasawcfhrdlrenyaenlollelrantopwlsvrmuunenialeowlesdamnyu,[array([3, 0, 2, 4, 1]), 2]
etteeeaahctautprehehpaoeepshtwrrdeahsaypaotaterfhrhsfmlsuntefnthaacenepneohtopqdocenoactoeeeferefsat,[array([3, 2, 0, 1, 4]), 0]
rinmwlntrehstwtinmhibsnhaehdfehtetrwrueoadbrmhngoaeesoienyaaoditsoathhteaghshvsfedeideteeiteadihefet,[array([2, 4, 1, 3, 0]), 6]
oosetcineonspintahcuaedgtedoognufaukoucsorrbeeinisruleosocoitrnaofeeshseatetnffroeuswnnlbhotgrdtavah,[array([3, 1, 2, 0, 4]), 3]
ttsfdhebfomeialbeyohcooeaihmaoaherwofhnaekesenfcnnwerfoltoenroedhboalpiteathosylbmlntevdallvfrsrarhn,[array([4, 2, 1, 0, 3]), 6]
teetraitearwgtetsathwsoenbrtihtaetthkouoduawntedhsmtmnhohsiierkhnenaehsetabtlsogtdosneaiypiesaepltbe,[array([1, 2, 4, 0, 3]), 0]
nwrhpretowujnjaieleieddhgthldrdgihlonhnhteothhyaentoaeerftawoaownbyhsranrisodaaspdslfethepaslaahftse,[array([3, 0, 2, 1, 4]), 7]
eemohystmienuftrlneaamooetolcrphohaegewmyeaetuteaasshideytwyrfrhnfpeeaforltormcihvknylrvopvohseereay,[array([1, 3, 0, 2, 4]), 0]
omawuowpiwoaootratatsabitgueonngobihuiieleniilrsilrphuidnodlesdlkeridlgidtedttnabidndhenlaautnlefehh,[array([0, 2, 3, 4, 1]), 15]
asutitkdeycdorrheerrtteolieiirfeyfcpsdtyoeafogyieeadhmhngvpiinbaewdoieyifininofegommentostihmphrcsvr,[array([2, 4, 0, 3, 1]), 6]
terftneaaleoolntitfvmanelveahfiefrhstuhpaityytehrpuahuhoestombyoisblldteetebaendhtteotdstdereeniicpi,[array([3, 0, 2, 4, 1]), 13]
metamsenicadoirolaihaedgtryoywmnhalsaeebhloeracinehmefirttttjdserewfmsthomutnorlewetsnmnmesvhdibshuu,[array([4, 2, 0, 3, 1]), 4]
laeneleoascunlaanvlsyslyaedyenlvynruodlymeeanolymkseehsaiedetysaalrfgiuafreswhlpehloafobrmrueasnites,[array([3, 2, 1, 0, 4]), 12]
keadtrsoebetoreaoafrhhiheeeteyubfnonfteyhrwyuewsnnadhooamrmeehmwsvnroftihevttnleseiedacahyoetoheeori,[array([4, 1, 0, 2, 3]), 4]
bternteenaetfrhntelefrmcknupopsaoihbouieuithnehhaepwyaevrtoshhottktylhdtrhaghnysaniiteedhytasaerhise,[array([1, 0, 3, 4, 2]), 7]
rutmrtfdayeotvlatuhbrlboedoaorndfgtntcysooaleolflndmmrtejdtahtiylteaoohuhaeiyniseoearhosnghiaomnfriy,[array([0, 4, 1, 2, 3]), 6]
ueehnhidildedbthpesteuteodssohctaoohshahnaiaisihmdhilhtinflpnbawthsstydoblycetwhowtutatyerwaitpasuob,[array([4, 2, 3, 1, 0]), 3]
nesesnicoldanheelowaoytendhwruadetehsttihlyhtrthsgteswteotiaiesajsnadmtbtdhayndedaanlniuenreuyuhioti,[array([2, 1, 0, 4, 3]), 13]
gtoedersnnaddhplknhlecalrdintainhntemasofhdmbpeihwoasulaadhlncnisoegslrhntofwenltstsleoteiaalltooehe,[array([4, 1, 3, 2, 0]), 5]
talndeviettgnhoilnwrhtherhhtiohelnnerscoeaaeoteedolgakoitrdttgneobdvhtptmrmeshkmfneeuniwikhmsnfoebio,[array([3, 4, 1, 0, 2]), 13]
nhinheootaoeednhuionrhadofrhhyeeueyuttrohefadwieandtteermthnghnetessnaetmnhowwoseetonwsawtcfgyiomdjj,[array([4, 0, 2, 1, 3]), 0]
sitlrwlhoioiertnsfiseinnsbwuosafernnoaehaaotsnthohiiowglurbgumhedagogehhfitnwhmihheeaolaltylnlsyuhme,[array([3, 1, 2, 4, 0]), 8]
ndaithsaitedbhyssohpidiwrmltepinteseceutrwebhrdrstleatehentmeeelcfeahdahrsadejwyhgsahiasdlhesselntie,[array([0, 4, 3, 1, 2]), 15]
otiateeghlmdgyyedssnrhotryoatelyiaiuuuuwliilpttebfunieehsehstybrhpeheilseeotoalscedeaghootleraehsano,[array([3, 2, 4, 1, 0]), 8]
hhlseirrmnemreporrthmhsoehtehvneimrfiysktaharntedeanalbhaetbderehpirtaneaoschaofeoaaosfvossecesusair,[array([4, 0, 3, 1, 2]), 1]
adtohhcmzrdaethmsoeteegiereenimntntasbnouhhrltaihrhnwtedeaensjutbitkahsnnhtwwaohuttelyendtaawcempssa,[array([4, 0, 2, 1, 3]), 7]
iyttwoptiehnyfnrlnneeemcnfohevaeeencudedhfmooewtkeonsodirrishinlneoyhrchthvriastssovaaaaemeeaasloteg,[array([1, 0, 2, 3, 4]), 4]
cmstattenocliayfsietiaheateahyeawiaylannhipwwhncoasfhtanocnmpnitpearhetctendaidlsihdupedodtnidmsetml,[array([4, 3, 1, 0, 2]), 6]
dotewaimlthrsateahsythyrnsuhowfoeirvhoashncatdlwounitpaawneatiadililwhteetetcmstteitaemnnoriolehseog,[array([0, 3, 1, 4, 2]), 14]
vrsiakadrweaoiicbtrprsfeenhlutoaoontflgonoaaepotuaetemwtytrahylnrathphehorlesdmdofnttuseslnodwteoijm,[array([4, 0, 2, 1, 3]), 13]
dhsitengnogwdenctemimhabeneddosaoitiandaolmontomelalrutevothhyagsmetctaueflonruesepohsitahtthhdheyyd,[array([4, 0, 1, 2, 3]), 13]
ntadthtneaddhgwriilmnsitgheinvshcoieetehaadecaeeatiihpswtrplwdahiobntsebeshdytrswhasdhienhamsehaobio,[array([3, 0, 4, 2, 1]), 8]
etohtnfnnhweadnedohsgasaahmhtetehncwoendnesssthhihkturontenniywioeirwytgiepnhysoeftidhigdrmeketeshrs,[array([2, 1, 3, 4, 0]), 15]
dotsorhtgnchnrdiooonnmiptndimnstnudoiaaengurdeaaiaehwmteaigehthrhifaiahakddrhmrebatinoeaweeommyassgl,[array([2, 3, 0, 1, 4]), 4]
fitnhwuscgehienssovhsbettesnhoremninihfdmihiinpeeifrdtwbridathaeteawsetrdhshtihsohoatumeonesihnirtcr,[array([1, 3, 2, 4, 0]), 13]
sinmcdeinglnnsfhgyhipbeomtiniiaijnaaidatdhsadsieinibggflsssafeaieotlridlsvdeoeuoefroseehnrdclmeinclh,[array([4, 1, 0, 2, 3]), 7]
najwdbmnutolstkuutuersupyhehruuhsihmndomtdfhhctlanttotaiguoteeiemesnoiddohoohasoiothtlllceaanwtebbis,[array([2, 1, 3, 0, 4]), 0]
tenaeartautordaspbgaaaitltiihfehsnouflzleuitmkhoshdtetraetiefesnhteeuttaoehsgsadtaihhminrsehohywmuep,[array([2, 1, 0, 4, 3]), 10]
ahhdahnraadyseclytaronlhtnweaistencmritrtigsemalthedhdhdasenteeeessseewylehrreyahmicdafrnowalessesco,[array([2, 1, 0, 3, 4]), 6]
hnsxeopscmtarlsahadahrfoedeifaahewheeraeuasehoetbyhzrwibewoietesytvowahehshtjsdbresreeneauscdndmadmd,[array([1, 0, 4, 2, 3]), 14]
nladvridlhhwidesmsiyiautsadnycmnfaeaumgnailteweyetnseteeurenfsghinfelherertgudhraoohaohntwdtdlosehei,[array([1, 4, 3, 2, 0]), 11]
uuidaasisusmoyunneeoymiutotnujtetwofnsnorovrehoseibsirgyreoosqitysgigdpnenhlsnuaaynuriiefhisstoivfhi,[array([1, 3, 2, 0, 4]), 5]
teeetoytrhnnraehgvnmrbsbdnslnretuvaweaeitaviaefriohenaenmnhwmsvirhsannhoeseemdeneoeeyueehriotonriget,[array([1, 2, 3, 0, 4]), 0]
nkloniilvednhitrrnehaheledeeddrtaoclyishiganeitfleanewaewodlrotnocadhasihalenduotthwdsshdchiaseehdep,[array([3, 2, 0, 1, 4]), 9]
etlehcheoaapdtemaescgwraeamileerieidnlnristttdsdbimdyhlfsytasadevdfrhnenatniaerfohssbeeaeeihhiaowszd,[array([1, 4, 2, 3, 0]), 14]
bthyhtaeihieteotrcugsiteinwtkthswwooatsewuroriafessueajtchfstdhahnnweaalnvbupcooidetnopeeewleoaheaah,[array([4, 3, 1, 0, 2]), 3]
oaafetrhoehcrtnehuehheseeihigbnteoshetetodsuolmfwwsdtiorriutiyetultrfceawsnttnhttutdnopatawuhatynyod,[array([1, 2, 3, 4, 0]), 11]
weepuooeotfreltelnarrmaofofykasufsaleneoayaeetiiorhoehtnalhhayrrrotsmfhsyhtrraohfftefouhitmroahliody,[array([1, 2, 3, 0, 4]), 3]
nahehwrehpxnhcitnhwonaoalxtrmndpiaflrahdrdileicsdoeoenaiaessapafteteadsoedwhweieesgstnldrstiainthwru,[array([2, 1, 3, 0, 4]), 10]
itoecntoewrisjhwtfeltfepsroimetoafaserwmochukrhrihreeonenttihcrsslnetsbetrttehfnodanhhaniewaotheuthi,[array([1, 0, 4, 3, 2]), 2]
fyhatfeidigelthtrrhitnssitflnnftattgpoeaeeesmthsheueaeeerhioertatdefhtfptttrhtrrhhohtotsbyhatsiehfhi,[array([3, 4, 2, 0, 1]), 13]
entlgwgtrohmoetertlddnsunthkrtadhccookasegevheeipadwhtirtefdohtotwoeacothpswoalnoohoottlgomahlargire,[array([2, 0, 4, 3, 1]), 3]
senwoamsiottuaiblatfuhmogoidmsuetkdtreavradiadfhtteamnfttaaoaetisydshsnttshnwaaenhhsnfmbsoioeutetmee,[array([4, 1, 3, 2, 0]), 0]
iahtatipgddoomaltefbotboaisassofaehafemtegdwyolobilnstoedaaerbnhoapraieehteynhcaheefirsarifsormhifjn,[array([3, 2, 4, 0, 1]), 3]
ehfptaanthfcohrfkslsoeofhirehsrfsettrngashdtautoeftkonseunhuothtsetysdeeeateodradptamlgtinilrswanuri,[array([1, 2, 0, 3, 4]), 4]
