nethrralgethladdtalteeloudyeeihlthhteasgaweisgtitleahsltuhgeessoomorgtragtehntsrtreimdtrdghehtdeonaa,[array([0, 1, 2, 3, 4]), 15]
iinhmeeaedltadwleoadremnhhsuhlitldrhtsddlmfleeayitafltoahieeehnaitekilvnmnonoadrsewlvepevheidtdndyiu,[array([0, 1, 2, 3, 4]), 10]
wktsegtoeesiobinlhuhrlnathdmalbeihhnnedolaoauyinaegorslsletedadhlwethlsbkdhknfshltbdnhnnowttetiiaaia,[array([0, 1, 2, 3, 4]), 11]
nrndtilyiehtgdoodidntnodalreoknbceaehnnwlsknaruynlietusdsayvniiatehwesuhoaswqitinsueeoshhestuouhesdt,[array([0, 1, 2, 3, 4]), 13]
teasliktwenpedhwnhnihodhmeitenhrcieetsnegttdhoharahnfneieobsehuaknfraluefentgewmcwnutkeoiolstdlohcoh,[array([0, 1, 2, 3, 4]), 13]
hhedndknadnfiteaihsaoeonbeiightrhegohmendmtozkmwaehndsttoavemiessiaznfltrnatgihwhltadisnaaoeurtoehhe,[array([0, 1, 2, 3, 4]), 15]
lpsareaarhiiooetifsnuihcdvftdemieghssmlwhardbetifishnhasrnnsdadosihtewsdntodieaoosneitannthaiyhrbode,[array([0, 1, 2, 3, 4]), 3]
mtseetilvdaweofhdahlvtshlvilaenhenoeahtoelitoihaylewnetaesdldnthrcidsrladsutiolheaoflhrdehadnohteroe,[array([0, 1, 2, 3, 4]), 10]
bneotbsotwiherwtsssdsheyuelrehnogntehaohuoeoeartooedreevngrgeadkdeofhmttehhfhwewmeasorvnehtiwethohfo,[array([0, 1, 2, 3, 4]), 3]
lnniasohajdnaeooobhlfziwdfthsreensadcbsfrecdouhinjoenessahbanadtehzgtrnbhfaeirotehroaronheaeaershebd,[array([0, 1, 2, 3, 4]), 3]
tfhlicsaheodhdhojaaaahslhlodisejchsnnaneseisstlsaiaaeadnrahhaeiasncnsrheomrmnphnaamaaadbooiinadazima,[array([0, 1, 2, 3, 4]), 5]
aeosianeeewwonhwthehevbradldmbbctelihudnenifecedenhlhaehainitsswenisicndnaoeainrauetvhiehtwoascsiseh,[array([0, 1, 2, 3, 4]), 0]
euhoatznoenohfortemnjsmhfaadcurtadhuoticsrfttshaeoblisrewyftsvrrteoishaoesndeniswetoradesfrwboihenun,[array([0, 1, 2, 3, 4]), 10]
tcotasekirwfshhafrxhwseokseodnustedouaetpntimhihnkhtinhoeennuonsxtihsotrtoitetaicwrtarhdiaenafheseyt,[array([0, 1, 2, 3, 4]), 8]
hsiaeeisdvoeateeamgnnhskwknduetleslhknlpcnehedtoiifgibthesootidlrndhtmalnlsodvmtesutmnnaitylseaimnog,[array([0, 1, 2, 3, 4]), 9]
uaammemeedsshbtomdnheoebheswrrjntuhabtejbceasncatihoyeouahbmwedmeoasmutobunttebfdhemethnrubtodheaani,[array([0, 1, 2, 3, 4]), 15]
ntiuhdhaeclieadlfctjdteardewrsyeaeogvrshiedinarlhenhoioebuhrdemteuneeihoadsaannhasstdanibcsfntdtrehh,[array([0, 1, 2, 3, 4]), 7]
ntodeoneotietorhhfaahpsfadbittghknknohweetjictrejhmosehneegreteatdaeoaeicuaaeaceinhhadnmfehmnddnkteu,[array([0, 1, 2, 3, 4]), 0]
tugcemetwtsdyhisnmersasahhfhsherewiublertiadedradtooelehereapaonahkdaencwenuerlrtaurlibndeeahisoesen,[array([0, 1, 2, 3, 4]), 8]
hstntcoyetroltelaaaetrhiehuhgsdrhoedfaevelhrvhoevoestooeeoftojsmessteiefsrfhefdhlvuehgeusogeetotiber,[array([0, 1, 2, 3, 4]), 7]
eshpmemanzlnhroirtefaaijzdahniaaaacadaovfafsorradinladmnermhhbimeoeoosohhnaacimadladiaearlnsahhienjn,[array([0, 1, 2, 3, 4]), 13]
ulrintenreurtnasienaoofhhcadotjrmnbolxtmoadahsfoetastfiduetealeoirphnteoeaorehyfeslohdanheahnpieiatw,[array([0, 1, 2, 3, 4]), 4]
delyhadtidadenjkadeapwewsnthihtitsmlcvdaoanitdehribahgncwahiaioibpdatersenoneiwiaseenhnesshiirnhsrcc,[array([0, 1, 2, 3, 4]), 14]
hraondrsdtuateuncpyfeheffilorgbwmchdedlteettjheyoseatoaoishebrnoddhiiowparinshlvjcaaheoartvbrhdeeesf,[array([0, 1, 2, 3, 4]), 4]
eewmdbjhoierohwnseioenbaleuteeurehadehtidshccteutihsrrtstterniltceotkdontssttoihgdhhtanekfeaehfgotss,[array([0, 1, 2, 3, 4]), 9]
rnhpmoumbsecatigtotreeruosopaohodlneumdpeulevftbhhcaeutnfiashtoyilcsasrrmltatsmtigovreahhaheoelswsel,[array([0, 1, 2, 3, 4]), 3]
ohaesifisbhialrlemnvrehlvmrwcdametetnnedlledithaeeeoeknveceyshdhsaphdlhmldrhmheaehastuithteelttdturm,[array([0, 1, 2, 3, 4]), 1]
ieytwnloahiedwkhmwaitioglkmuhbwiwcbfiiaeoahsottuieyttreleksoeialtetytinhyewemhiileheirmsldsnmipwdtde,[array([0, 1, 2, 3, 4]), 3]
astlnhniwahfllieihatettoutwlgihruooilsatwtsevhumdoelntepolesliiorhehpreyryoteiihhohynrewpeeytghsttoa,[array([0, 1, 2, 3, 4]), 11]
onuuemecectyedrooltrvueudoikgteoaihprveetsoytonhlufwernhngotooelvtefhldtttttedootgenfofrihteoihftror,[array([0, 1, 2, 3, 4]), 0]
aeahslcasnunerhrretaethiokhtetetrbieeopdslutdjpklttdlbeheihfhgvseoitolaoeefhuwlewehmsotihfhesaoetcsr,[array([0, 1, 2, 3, 4]), 3]
lehewohhoktodoahbfibreahmtesiitlenhsfnhyteosmshtwahcdsrwatoegtiwehascaitesktlucahwhpwnhwtmhnreohouie,[array([0, 1, 2, 3, 4]), 5]
ticirhlrvkwhahwlethcentyooueeeaeeotihnedlftwhceemyrdtrrsnhrfnndlrprhtcntmecdnhofrotkoewsoeaohrefotso,[array([0, 1, 2, 3, 4]), 0]
uygrrenohcisorabntuteeranoguteoonnrttomeooohhbbkirnttrnmigurstaxnsrlbateoiggitaeepaioethetatnnohblne,[array([0, 1, 2, 3, 4]), 11]
ptarhedtfeeetdrehrneetthrnwutotkdntddhrevttghlehtlaibhyhchrhioeosrhsesiveaesdweaeieuuswleerefsowwtpn,[array([0, 1, 2, 3, 4]), 1]
nadiopbtoepiicwnnednsaopruahcvnslrhstretturnglgtrothahesslogdhptaehsaiaraeshttttusalnasehttseseeohoy,[array([0, 1, 2, 3, 4]), 10]
rnsetoenvthneiuieehsofttcfecieehteraahvrnhatenunharherrmiryugltesttytasluelowtesotertanlroeilpmhchei,[array([0, 1, 2, 3, 4]), 10]
whaaiharnhiethtbnmedtstamnemotthtsireaiaeseryikntsnhaceiiamtthhcheidladnwiietyenwmhihhnthnanotihdtga,[array([0, 1, 2, 3, 4]), 4]
cdissmoietiieoemtfeilodyynmnrvmhochgvmdycinhacemtereeeeajeyhsiamnsneoaealihsoagnhteimnshaadvlgfntrne,[array([0, 1, 2, 3, 4]), 11]
oiutrtnfaetnlfrysonthesbhigoulihhghuteitrgrduedoaeltengmtoneformhcoeaobrfohwhrteadwirobeenbomoeonlee,[array([0, 1, 2, 3, 4]), 7]
tlaoisaplehtadltenttdndtlnytilhbteohhaahbarhrtioedgapatorrtedityheelaeohmfhoenartreeflrnsrtletfdadoo,[array([0, 1, 2, 3, 4]), 11]
tgolwvfohseeuyhnacrfothaeotdfteirvirdomrinenyoaihhdhrhsgfaadauyoehdhomrhciereootooehelnostfthalsdlct,[array([0, 1, 2, 3, 4]), 5]
enboytanetahoyheaersftodhyradhrehwttepoaelheetifiaeeyytegeeeflrlvsstahhcdvthmneadorhrooeeoceatagttsw,[array([0, 1, 2, 3, 4]), 15]
ootrrstluwnefnthwetesonntatudogiortgtusiwoshiahsimblogrhmuuhohrineuderntaaenewohtelbeteymlbdgiithdmr,[array([0, 1, 2, 3, 4]), 9]
esetetenaaerbguuwhieheuhmvrislnlhttoodronsaadtboereonrvostifulraituvwfrehiarmguaionmobeocoeotryotiel,[array([0, 1, 2, 3, 4]), 2]
hohghlgyerbrsagoharogteoloeohgsaleeefeltutsobifhrlbrutoielyrwoylotitnylotdieoaddflioradrnwefrwfnowur,[array([0, 1, 2, 3, 4]), 2]
lserevoallmuaalehvgtavteethwyeohaitqislwkeaosyaudreinahrtihhituleiehnawhreynswntdadnenyflpeenoodhoio,[array([0, 1, 2, 3, 4]), 7]
hfibhraeiaoitelianeusapegiefwtsilrlvedylggsetyltvanhomhetedeeensahathteloalstratehhtdrhahtthnitihtot,[array([0, 1, 2, 3, 4]), 12]
enseehnldlhrvfemuelfhriaetryeouieaeesaokioieteievvhabvfonhnhnehranhhvmntgeieeeomsttdfeiiseaiagdlyoom,[array([0, 1, 2, 3, 4]), 12]
iotysaossttnohsltrihmefsilrueattedrifodtiytooterretedathfonnudahshhpnfauomhhbchuogmaseleteosmteorets,[array([0, 1, 2, 3, 4]), 6]
htuhthdlrsefotuhhcrteattinmfeamoedphrlrstedsemhrenaahssahhtatoedsilrebatutmnkthinwerremhaodnsaehdatt,[array([0, 1, 2, 3, 4]), 15]
wvnslhneehhriiieityaeototovnhhtewoatdtllrehaihrdultiitafmfmuaiuleteadttdnsabgnonoeotofabdhthahetdnhr,[array([0, 1, 2, 3, 4]), 4]
tjuloaalmehelhtehnaisnkmphetiahptalfeaenratdaeoitzawwhmteetethnneeioehhfhoindihogolwritdwmgtamdtnpen,[array([0, 1, 2, 3, 4]), 8]
rhdhafhmieureaneongeonndotylebspaptbinshehraeyrednrioetrhsrdoegistsstpsmsatwuhsutesnnhadseuethrfhatn,[array([0, 1, 2, 3, 4]), 6]
esieeaadiisftctfhlkpnhymrhnncanwtahowhihoaoerttslctaaogsrhsesoeoeelgaefrhlhirymateaewrovrlsoawmehxed,[array([0, 1, 2, 3, 4]), 9]
ondtdtibnraenwrotleihranhbtfaadepsnhresdphaaatonoeaaobnuhrednwmaiuehnshldpihnsyopnicuoiescseuntlonps,[array([0, 1, 2, 3, 4]), 13]
eaenrsaeehhtsrosimsaaodihekhevieedehhrovedoomlwstaputrinnanatiamehutnflytalsnoeetirarinernomhltchtwe,[array([0, 1, 2, 3, 4]), 5]
hireeeaeusenutepreemamufepkmadnohslitosnsitdontpytsehnitguyfhhhetetnitdeomadwtdaoethwtiehensnnismtin,[array([0, 1, 2, 3, 4]), 7]
imoimhaoertnadoehuhsfategihuseeaaiattshthtstoonneantstgtbnohhhnenatensntrytadhlraointeeeuseouenaemss,[array([0, 1, 2, 3, 4]), 2]
nudedctirereiaddnmehhnfeoihanothyotlwcthiteftoaihuwtlgfhtwfhsieyeaohieueltrshsoeadetadnhstlslteynnnt,[array([0, 1, 2, 3, 4]), 7]
svtirfyrrwycsiiiiautsetoibteoaaetewehmhslneraadhdslhvfbnnhheheittegrehwneoreeicedkatrtrbhctugarhiteu,[array([0, 1, 2, 3, 4]), 13]
dutwtshetismitrbfuridhlbtehgfhfsaoeatdheiipinneeeemtloeorwvhbhnehmltegawesdadoygdaletoeecshshinroerv,[array([0, 1, 2, 3, 4]), 2]
weoenolrnedoroikmtwetadluldfoadbqnwnmgyslayyahotmasaetmeiluaieonlmfrrtrsyeyhprtewlitlbraiudejsahiele,[array([0, 1, 2, 3, 4]), 14]
aehdiileestoklhstenpdtutedcdraraialwhosteflaleirfihaigtentslteoofeoadatnfufeltywtdeairetodnnalpbaswe,[array([0, 1, 2, 3, 4]), 10]
hsthhdneoehtisaueeuoitiugitcwhuratefhvtlairrtsawjeehahtwctnloyiylctonnseilteeleeateiadntitihlhprsdna,[array([0, 1, 2, 3, 4]), 7]
nahfsmagrnltoadmkaaeolaamscnpofadlkailrilebslreneoeoilflsyanhaedwlrbtbcmdhntuhaeokehotmhiaaaticccswt,[array([0, 1, 2, 3, 4]), 7]
lteehtaoeasurltakeahpsasodthubarnrhoboeahhnhmteelanettsttodeahemetotogolleihhehlernvltayywnpbsearetn,[array([0, 1, 2, 3, 4]), 14]
leanswfrleyelavymlucesiiloonlisiannuuilaoolrlnedllrcainatloipowssuryuensnlatenwceadfmoyiofoaachdrnan,[array([0, 1, 2, 3, 4]), 4]
smsnenhaeenottoepeqadcoacternhohaacethsftlrudtafstyaactntprehheoteeeaehfteurpeefespaotephwrehapoaefr,[array([0, 1, 2, 3, 4]), 1]
rinmwlntrehseesoienyaaoditsoathhteagtwtinmhibsnhaehdfehtetrwrhshvsfedeideteeiteadihefetueoadbrmhngoa,[array([0, 1, 2, 3, 4]), 10]
oguakusrbenstunefsfcrioreaufsewhnentodsotnifeunopcnoarceaiditlrblhoootogtrndoteasvsaaheoecnosithuege,[array([0, 1, 2, 3, 4]), 2]
imohrohaksncwtrsodteefrmeihloeloiceotdhaolslyvlfbrmslrnatrehvnnteffhlbooneoadbbyahpoteaahaaewfneeefn,[array([0, 1, 2, 3, 4]), 12]
etatawttahsehlnoetnoaneahysiestealbbtoeurwitedrsgtensotswiornbtrstgidhsteaieptetahpktoeudanehmmhhiek,[array([0, 1, 2, 3, 4]), 11]
epaslaahftsehldrdgihlonhnhteothhyaentoaeerftawoaownbyhsranrisnwrhpretowujnjaieleieddhgtodaaspdslfeth,[array([0, 1, 2, 3, 4]), 11]
opvohseereaywmyeaetuteaasshideytwyrfreemohystmienuftrlneaamooehnfpeeaforltormcihvknylrvtolcrphohaege,[array([0, 1, 2, 3, 4]), 12]
hindedkrdgdegteanignbhhniaeuenieleshloomtarwautoawtpsiawboiatoutonnbodidueillantilrfihrpudolsleilitd,[array([0, 1, 2, 3, 4]), 1]
nnfgmetsimhcvadutiykoeecaofroegrytieeleidomenovminnoatwhoperisirsitetidiyrdfrehyefrctposahhgpibediyf,[array([0, 1, 2, 3, 4]), 7]
bedtetsdreiciuvpeiayhtfhipeafurohssotbtarnthetaoedotneiefnminplyhoaitsybelrludhtheeettmeefnalolttvae,[array([0, 1, 2, 3, 4]), 0]
ehorcnheittjsmmtemsevihadoirblsihaudutebelfesahimetmoflrwtttndnreyaosynwcmdnihoaalhseagerwmtounreesm,[array([0, 1, 2, 3, 4]), 13]
brmrueasniteslaeneleoascunlaanvlsyslyaedyenlvynruodlymeeanolymkseehsaiedetysaalrfgiuafreswhlpehloafo,[array([0, 1, 2, 3, 4]), 8]
etybnntyryesnkhaytoseeteooheeoefohriieaeheoumfmoefmeshnwoutwhnvtetdnrloebsteriaeadrahchadoarehwvrfie,[array([0, 1, 2, 3, 4]), 5]
yerohottldrabnesnneineedfyhatalrfimekuepuoiptshanoeihhhbaoeupithrytaeiatterhnteseerhcsnwavtshtkyhthg,[array([0, 1, 2, 3, 4]), 9]
iylteaoohuhaysooaleolflndmmrtejdtahtvlatuhbrlboedoaorndfgtntceiyniseoearhosnghiaomnfriyrutmrtfdayeot,[array([0, 1, 2, 3, 4]), 2]
whsyolcthwuaythpasaesthodsiohciafopsbaueerewhanihtipdaisludoebdbnhieitiumehdlsthntlonhahtstdbyewottt,[array([0, 1, 2, 3, 4]), 5]
aneannuneyhoinasjssinoaddnmetlbwtodthndywduddatlhiteirluhurihtgteeesnwctleaohteioaaiyeeshraeesthytts,[array([0, 1, 2, 3, 4]), 0]
hlnlcldnannetieoigalahltlfteolosesheedspfkdhbeeahroistliahhtnmngsteoserdneorwsnntntaldoaohmpiwauadlc,[array([0, 1, 2, 3, 4]), 12]
skfeuiihsfeinheiohbldnvrhctepatomerdmeahnmenietngwhkimnnrotbeohltgoaeknoeistoradetttegotldvetnolwhhr,[array([0, 1, 2, 3, 4]), 4]
awtcfgyiomdjjnhinheootaoeednhuionrhadodtteermthnghnetessnaetmnhfrhhyeeueyuttrohefadwieanowwoseetonws,[array([0, 1, 2, 3, 4]), 0]
rnfsinbusfrnheeadoasgtoogieohghufbiutewtmshieeanlslwyonaseunmoashiattlnrhwhlihwolirogimnhiheoatllyhe,[array([0, 1, 2, 3, 4]), 1]
hsopdwmtpneeteeutthrnwmeeblhfraddrhssdyjsyhgiaiirslleeistlstcenldaaeiettheseacietheadrbaewhshadhseni,[array([0, 1, 2, 3, 4]), 4]
uliptbuieshtborlhcpdeahheoillrseesenouyweislnthetfynaeehyeasuytoatsieaetgeoetgehalhmadogydsrorotliiu,[array([0, 1, 2, 3, 4]), 1]
hlermerprtmseeopsrsaeecoecsaufsoaaisrvhhesviermnfmyekoarahnheoeahniatlnbahsaheotebadoefrthniristhrtd,[array([0, 1, 2, 3, 4]), 0]
athczdehseegenndttdaaanwjcteimkphsnshadeoihnmnraabtomhortteiirrhwwweaeoehsuutbttealsynetenmttsnuhlah,[array([0, 1, 2, 3, 4]), 8]
itwpihynlnemndfdofhoeevtaeeneoeinrcsuinyntoohtcetnvfirsnseoeacaaeehmmeoewakaossldortiehgleyrhhratsva,[array([0, 1, 2, 3, 4]), 13]
nterecedilidpadeohdetwnaildnmhspewtnmolimptathetotlnaafdisthaueetaasyfahityaannoicwnhmcpcsatnciyseih,[array([0, 1, 2, 3, 4]), 7]
cstiamnroesotaasshtnycnautodflewrohuimptaentaeindolillhheetgtadeohtyehwrasihmwlotihvrosntawetaiiwtee,[array([0, 1, 2, 3, 4]), 3]
esdmdofnttusnhlutoaoontflgonoaaepotuaetemwtytrahylnrathphehorlvrsiakadrweaoiicbtrprsfeeeslnodwteoijm,[array([0, 1, 2, 3, 4]), 9]
hiegoweceihbteadhstotthahddohmenyoyeddlsutenonhgydgnmttmtmuafenodnorauieisneaploohtsmilartvthasecael,[array([0, 1, 2, 3, 4]), 4]
eadceaihstpwhyeriwnavdsihncaosiheoeitthdahenaaedtgirpiwmrsltdadhtisohbsnhteshembeeasbhonattedhwilnig,[array([0, 1, 2, 3, 4]), 11]
andhgsamtthconudontensiswsotihwhtiihpkdyeoofsiahaghrheeeeenhwsetertnoehntynifenrnyhgweenhsetdidmktsr,[array([0, 1, 2, 3, 4]), 8]
hhfihkdhrbtnedethowhmgtcenadiogoenhittnriinatauaodaremgeraeiaoaaowseretonmhmryiaosnsmgpldmsndianudai,[array([0, 1, 2, 3, 4]), 5]
hishauenshitrefniotennhnwhudsicigneehiftdhworodttmaoteaisntrdcsisehnrsmsioivfhmshbieptetrtbiaheewerh,[array([0, 1, 2, 3, 4]), 8]
tniinadthasenhinmrddicglnmsehiynicblohigifasjsafiaaedtsrddisidisenoceeunolenffrgohspeeembglsaeiolilv,[array([0, 1, 2, 3, 4]), 0]
eenidhoaoohllhnhjudhmiumodsmkduhucrlunytcteoataaniwgtueobtbeiesiaewrbunsthlntouttfehstpamsodoohsittl,[array([0, 1, 2, 3, 4]), 14]
ssdahmnshhwupeesanahttueoedustbtaaaotehtgiafthinhuilrleuotykmoethndetreattrraaeptgiaeiflihesofzeimhs,[array([0, 1, 2, 3, 4]), 5]
neitnmirismlhadhhadnhaddassceynatoeletewsasseeycerrtetagmecaatrehndohwraalyeeslstersnchoesewlhryhidf,[array([0, 1, 2, 3, 4]), 7]
jdrsenasddamnexaoesomtaylzawabawriotdesiyftavaohweawhheehesrhahussehpecbthrrsihedohefeetsbereeucnmdd,[array([0, 1, 2, 3, 4]), 12]
dymfeugaleeennsltaedrvnrsihdnlehhhrwrigaunhcanoaaahmtndidtoweyetdeeesumesfigyiifaluetestdrohonwtlshi,[array([0, 1, 2, 3, 4]), 14]
fhisstoivfhiuuidaasisusmoyunneeoymiutnorovrehoseibsirgyreoosqitysgigdpnenhlsnuaaynuriieotnujtetwofns,[array([0, 1, 2, 3, 4]), 1]
hriotonrigetteeetoytrhnnraehgvnmrbsbdirhsannhoeseemdeneoeeyueeeitaviaefriohenaenmnhwmsvnslnretuvawea,[array([0, 1, 2, 3, 4]), 12]
nlnivdhtreaeeadeeadwtdorltiohaghnsihflehedncdhuioatstehewhddsespendwreaoclyosnicadeatilakoilenirnhhl,[array([0, 1, 2, 3, 4]), 7]
aieredlrstddindahrfoysabaeeedirhnanwtzdettelmeahecshcegowaraapeimeyflhsstesadevhfihoesadmleiinnittsb,[array([0, 1, 2, 3, 4]), 8]
tyteheetcgienuwekahjwtocahsfwsrtrdaheasbhhnheaainibtpooriuesntpietetwslweootaehueoaiafhsnwalvucodtoe,[array([0, 1, 2, 3, 4]), 6]
wdiritytlrcastinitbutdoohatatudauylyfdotanaefheuterhhhoeeshecernhtghntetsnepetowshotmnwostoruieutfew,[array([0, 1, 2, 3, 4]), 13]
epoetrlenrmoohrirttmmrhoyathrloifotdfyuweeauaoeoifoehteltaarhaaffryoksafssuhfrsaahlfeenooyetirohnlhy,[array([0, 1, 2, 3, 4]), 14]
tmdifrhriecdfeeoeednoadihaeeessssanparenwpeaplnacdtdhloiasaoxadtrtsatsieawiwnitehgwtrlunhhrhxhinwnol,[array([0, 1, 2, 3, 4]), 11]
erwmochukrhrihreeonenttihcrsslnetsbetrttehfnodanhhaniewaotheuthiitoecntoewrisjhwtfeltfepsroimetoafas,[array([0, 1, 2, 3, 4]), 6]
rtrhhosyasefiotaaetsdtesfehetefephtotrtfhhrtheodtgtlbhhrthithshietefelmnhnhfutaaetrtigepyafiiettrins,[array([0, 1, 2, 3, 4]), 6]
kasegevheeipentlgwgtrohmoetertlddnsuwoalnoohoottlgomahlargireadwhtirtefdohtotwoeacothpsnthkrtadhccoo,[array([0, 1, 2, 3, 4]), 3]
bsoioeutetmeeuaiblatfuhmogoidmsuetkdtrtisydshsnttshnwaaenhhsnfmeavradiadfhtteamnfttaaoaesenwoamsiott,[array([0, 1, 2, 3, 4]), 0]
hoapraieehtetegdwyolobilnstoedaaerbnynhcaheefirsarifsormhifjniahtatipgddoomaltefbotboaisassofaehafem,[array([0, 1, 2, 3, 4]), 3]
gsdatetosuhoihrpeahnshrcfhsfeststerfntaehytdueoafekdnaepnaultteifntialtrfsowraknluoroihhstseetordtmg,[array([0, 1, 2, 3, 4]), 11]
